Book,Chapter,Verse,Asker,Asked,Link,Content
GEN,3,1,,,https://www.blueletterbible.org/esv/GEN/3/1,"Now the serpent was more subtle than any animal of the field which Yahweh God had made. He said to the woman, “Has God really said, ‘You shall not eat of any tree of the garden’?”"
GEN,3,9,,,https://www.blueletterbible.org/esv/GEN/3/9,"Yahweh God called to the man, and said to him, “Where are you?”"
GEN,3,11,,,https://www.blueletterbible.org/esv/GEN/3/11,"God said, “Who told you that you were naked? Have you eaten from the tree that I commanded you not to eat from?”"
GEN,3,13,,,https://www.blueletterbible.org/esv/GEN/3/13,"Yahweh God said to the woman, “What have you done?” The woman said, “The serpent deceived me, and I ate.”"
GEN,4,6,,,https://www.blueletterbible.org/esv/GEN/4/6,"Yahweh said to Cain, “Why are you angry? Why has the expression of your face fallen?"
GEN,4,7,,,https://www.blueletterbible.org/esv/GEN/4/7,"If you do well, won’t it be lifted up? If you don’t do well, sin crouches at the door. Its desire is for you, but you are to rule over it.”"
GEN,4,9,,,https://www.blueletterbible.org/esv/GEN/4/9,"Yahweh said to Cain, “Where is Abel, your brother?” He said, “I don’t know. Am I my brother’s keeper?”"
GEN,4,10,,,https://www.blueletterbible.org/esv/GEN/4/10,"Yahweh said, “What have you done? The voice of your brother’s blood cries to me from the ground."
GEN,12,18,,,https://www.blueletterbible.org/esv/GEN/12/18,"Pharaoh called Abram and said, “What is this that you have done to me? Why didn’t you tell me that she was your wife?"
GEN,12,19,,,https://www.blueletterbible.org/esv/GEN/12/19,"Why did you say, ‘She is my sister,’ so that I took her to be my wife? Now therefore, see your wife, take her, and go your way.”"
GEN,13,9,,,https://www.blueletterbible.org/esv/GEN/13/9,"Isn’t the whole land before you? Please separate yourself from me. If you go to the left hand, then I will go to the right. Or if you go to the right hand, then I will go to the left.”"
GEN,15,2,,,https://www.blueletterbible.org/esv/GEN/15/2,"Abram said, “Lord Yahweh, what will you give me, since I go childless, and he who will inherit my estate is Eliezer of Damascus?”"
GEN,15,8,,,https://www.blueletterbible.org/esv/GEN/15/8,"He said, “Lord Yahweh, how will I know that I will inherit it?”"
GEN,16,8,,,https://www.blueletterbible.org/esv/GEN/16/8,"He said, “Hagar, Sarai’s servant, where did you come from? Where are you going?” She said, “I am fleeing from the face of my mistress Sarai.”"
GEN,16,13,,,https://www.blueletterbible.org/esv/GEN/16/13,"She called the name of Yahweh who spoke to her, “You are a God who sees,” for she said, “Have I even stayed alive after seeing him?”"
GEN,17,17,,,https://www.blueletterbible.org/esv/GEN/17/17,"Then Abraham fell on his face, and laughed, and said in his heart, “Will a child be born to him who is one hundred years old? Will Sarah, who is ninety years old, give birth?”"
GEN,18,9,,,https://www.blueletterbible.org/esv/GEN/18/9,"They asked him, “Where is Sarah, your wife?” He said, “There, in the tent.”"
GEN,18,12,,,https://www.blueletterbible.org/esv/GEN/18/12,"Sarah laughed within herself, saying, “After I have grown old will I have pleasure, my lord being old also?”"
GEN,18,13,,,https://www.blueletterbible.org/esv/GEN/18/13,"Yahweh said to Abraham, “Why did Sarah laugh, saying, ‘Will I really bear a child when I am old?’"
GEN,18,14,,,https://www.blueletterbible.org/esv/GEN/18/14,"Is anything too hard for Yahweh? At the set time I will return to you, when the season comes around, and Sarah will have a son.”"
GEN,18,18,,,https://www.blueletterbible.org/esv/GEN/18/18,"since Abraham will surely become a great and mighty nation, and all the nations of the earth will be blessed in him?"
GEN,18,23,,,https://www.blueletterbible.org/esv/GEN/18/23,"Abraham came near, and said, “Will you consume the righteous with the wicked?"
